Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,22.420000,22.420000,22.420000,22.420000,14.958078,0
2016-03-30,22.480000,22.480000,22.480000,22.480000,14.998108,0
2016-03-31,22.520000,22.520000,22.520000,22.520000,15.024796,0
2016-04-01,22.610001,22.610001,22.610001,22.610001,15.084846,0
2016-04-04,22.400000,22.400000,22.400000,22.400000,14.944736,0
2016-04-05,22.100000,22.100000,22.100000,22.100000,14.744584,0
2016-04-06,22.299999,22.299999,22.299999,22.299999,14.878016,0
2016-04-07,22.059999,22.059999,22.059999,22.059999,14.717894,0
2016-04-08,22.209999,22.209999,22.209999,22.209999,14.817971,0
2016-04-11,22.190001,22.190001,22.190001,22.190001,14.804628,0
2016-04-12,22.420000,22.420000,22.420000,22.420000,14.958078,0
2016-04-13,22.700001,22.700001,22.700001,22.700001,15.144888,0
2016-04-14,22.650000,22.650000,22.650000,22.650000,15.111530,0
2016-04-15,22.680000,22.680000,22.680000,22.680000,15.131545,0
2016-04-18,22.809999,22.809999,22.809999,22.809999,15.218275,0
2016-04-19,23.010000,23.010000,23.010000,23.010000,15.351716,0
2016-04-20,23.070000,23.070000,23.070000,23.070000,15.391744,0
2016-04-21,22.879999,22.879999,22.879999,22.879999,15.264979,0
2016-04-22,23.070000,23.070000,23.070000,23.070000,15.391744,0
2016-04-25,22.940001,22.940001,22.940001,22.940001,15.305011,0
2016-04-26,23.100000,23.100000,23.100000,23.100000,15.411760,0
2016-04-27,23.240000,23.240000,23.240000,23.240000,15.505164,0
2016-04-28,23.020000,23.020000,23.020000,23.020000,15.358385,0
2016-04-29,22.870001,22.870001,22.870001,22.870001,15.258308,0
2016-05-02,23.020000,23.020000,23.020000,23.020000,15.358385,0
2016-05-03,22.750000,22.750000,22.750000,22.750000,15.178246,0
2016-05-04,22.629999,22.629999,22.629999,22.629999,15.098186,0
2016-05-05,22.639999,22.639999,22.639999,22.639999,15.104858,0
2016-05-06,22.580000,22.580000,22.580000,22.580000,15.064827,0
2016-05-09,22.639999,22.639999,22.639999,22.639999,15.104858,0
2016-05-10,22.860001,22.860001,22.860001,22.860001,15.251638,0
2016-05-11,22.690001,22.690001,22.690001,22.690001,15.138215,0
2016-05-12,22.620001,22.620001,22.620001,22.620001,15.091517,0
2016-05-13,22.459999,22.459999,22.459999,22.459999,14.984763,0
2016-05-16,22.660000,22.660000,22.660000,22.660000,15.118198,0
2016-05-17,22.540001,22.540001,22.540001,22.540001,15.038139,0
2016-05-18,22.520000,22.520000,22.520000,22.520000,15.024796,0
2016-05-19,22.370001,22.370001,22.370001,22.370001,14.924719,0
2016-05-20,22.580000,22.580000,22.580000,22.580000,15.064827,0
2016-05-23,22.510000,22.510000,22.510000,22.510000,15.018126,0
2016-05-24,22.780001,22.780001,22.780001,22.780001,15.198264,0
2016-05-25,22.950001,22.950001,22.950001,22.950001,15.311685,0
2016-05-26,22.950001,22.950001,22.950001,22.950001,15.311685,0
2016-05-27,23.030001,23.030001,23.030001,23.030001,15.365057,0
2016-05-31,23.070000,23.070000,23.070000,23.070000,15.391744,0
2016-06-01,23.129999,23.129999,23.129999,23.129999,15.431775,0
2016-06-02,23.219999,23.219999,23.219999,23.219999,15.491821,0
2016-06-03,23.129999,23.129999,23.129999,23.129999,15.431775,0
2016-06-06,23.320000,23.320000,23.320000,23.320000,15.558538,0
2016-06-07,23.420000,23.420000,23.420000,23.420000,15.625255,0
2016-06-08,23.480000,23.480000,23.480000,23.480000,15.665286,0
2016-06-09,23.400000,23.400000,23.400000,23.400000,15.611912,0
2016-06-10,23.100000,23.100000,23.100000,23.100000,15.411760,0
2016-06-13,22.900000,22.900000,22.900000,22.900000,15.278323,0
2016-06-14,22.709999,22.709999,22.709999,22.709999,15.151560,0
2016-06-15,22.709999,22.709999,22.709999,22.709999,15.151560,0
2016-06-16,22.690001,22.690001,22.690001,22.690001,15.138215,0
2016-06-17,22.750000,22.750000,22.750000,22.750000,15.178246,0
2016-06-20,22.940001,22.940001,22.940001,22.940001,15.305011,0
2016-06-21,22.980000,22.980000,22.980000,22.980000,15.331697,0
2016-06-22,22.930000,22.930000,22.930000,22.930000,15.298340,0
2016-06-23,23.260000,23.260000,23.260000,23.260000,15.518506,0
2016-06-24,22.299999,22.299999,22.299999,22.299999,14.878016,0
2016-06-27,21.650000,21.650000,21.650000,21.650000,14.444354,0
2016-06-28,22.110001,22.110001,22.110001,22.110001,14.751257,0
2016-06-29,22.510000,22.510000,22.510000,22.510000,15.018126,0
2016-06-30,22.780001,22.780001,22.780001,22.780001,15.198264,0
2016-07-01,22.840000,22.840000,22.840000,22.840000,15.238295,0
2016-07-05,22.510000,22.510000,22.510000,22.510000,15.018126,0
2016-07-06,22.600000,22.600000,22.600000,22.600000,15.078171,0
2016-07-07,22.580000,22.580000,22.580000,22.580000,15.064827,0
2016-07-08,23.020000,23.020000,23.020000,23.020000,15.358385,0
2016-07-11,23.129999,23.129999,23.129999,23.129999,15.431775,0
2016-07-12,23.420000,23.420000,23.420000,23.420000,15.625255,0
2016-07-13,23.459999,23.459999,23.459999,23.459999,15.651943,0
2016-07-14,23.549999,23.549999,23.549999,23.549999,15.711987,0
2016-07-15,23.500000,23.500000,23.500000,23.500000,15.678629,0
2016-07-18,23.570000,23.570000,23.570000,23.570000,15.725332,0
2016-07-19,23.490000,23.490000,23.490000,23.490000,15.671958,0
2016-07-20,23.620001,23.620001,23.620001,23.620001,15.758690,0
2016-07-21,23.590000,23.590000,23.590000,23.590000,15.738675,0
2016-07-22,23.680000,23.680000,23.680000,23.680000,15.798719,0
2016-07-25,23.610001,23.610001,23.610001,23.610001,15.752019,0
2016-07-26,23.680000,23.680000,23.680000,23.680000,15.798719,0
2016-07-27,23.530001,23.530001,23.530001,23.530001,15.698644,0
2016-07-28,23.590000,23.590000,23.590000,23.590000,15.738675,0
2016-07-29,23.580000,23.580000,23.580000,23.580000,15.732002,0
2016-08-01,23.459999,23.459999,23.459999,23.459999,15.651943,0
2016-08-02,23.190001,23.190001,23.190001,23.190001,15.471807,0
2016-08-03,23.379999,23.379999,23.379999,23.379999,15.598566,0
2016-08-04,23.389999,23.389999,23.389999,23.389999,15.605238,0
2016-08-05,23.549999,23.549999,23.549999,23.549999,15.711987,0
2016-08-08,23.590000,23.590000,23.590000,23.590000,15.738675,0
2016-08-09,23.549999,23.549999,23.549999,23.549999,15.711987,0
2016-08-10,23.430000,23.430000,23.430000,23.430000,15.631928,0
2016-08-11,23.549999,23.549999,23.549999,23.549999,15.711987,0
2016-08-12,23.540001,23.540001,23.540001,23.540001,15.705317,0
2016-08-15,23.660000,23.660000,23.660000,23.660000,15.785378,0
2016-08-16,23.490000,23.490000,23.490000,23.490000,15.671958,0
2016-08-17,23.530001,23.530001,23.530001,23.530001,15.698644,0
2016-08-18,23.680000,23.680000,23.680000,23.680000,15.798719,0
2016-08-19,23.650000,23.650000,23.650000,23.650000,15.778705,0
2016-08-22,23.629999,23.629999,23.629999,23.629999,15.765364,0
2016-08-23,23.750000,23.750000,23.750000,23.750000,15.845423,0
2016-08-24,23.600000,23.600000,23.600000,23.600000,15.745347,0
2016-08-25,23.639999,23.639999,23.639999,23.639999,15.772032,0
2016-08-26,23.510000,23.510000,23.510000,23.510000,15.685301,0
2016-08-29,23.690001,23.690001,23.690001,23.690001,15.805391,0
2016-08-30,23.690001,23.690001,23.690001,23.690001,15.805391,0
2016-08-31,23.629999,23.629999,23.629999,23.629999,15.765364,0
2016-09-01,23.600000,23.600000,23.600000,23.600000,15.745347,0
2016-09-02,23.760000,23.760000,23.760000,23.760000,15.852097,0
2016-09-06,23.790001,23.790001,23.790001,23.790001,15.872110,0
2016-09-07,23.860001,23.860001,23.860001,23.860001,15.918813,0
2016-09-08,23.830000,23.830000,23.830000,23.830000,15.898798,0
2016-09-09,23.160000,23.160000,23.160000,23.160000,15.451788,0
2016-09-12,23.480000,23.480000,23.480000,23.480000,15.665286,0
2016-09-13,23.040001,23.040001,23.040001,23.040001,15.371731,0
2016-09-14,22.969999,22.969999,22.969999,22.969999,15.325026,0
2016-09-15,23.190001,23.190001,23.190001,23.190001,15.471807,0
2016-09-16,23.090000,23.090000,23.090000,23.090000,15.405087,0
2016-09-19,23.200001,23.200001,23.200001,23.200001,15.478476,0
2016-09-20,23.120001,23.120001,23.120001,23.120001,15.425103,0
