Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,12.770000,12.770000,12.770000,12.770000,7.762363,0
2016-03-30,12.856000,12.856000,12.856000,12.856000,7.814638,0
2016-03-31,12.872000,12.872000,12.872000,12.872000,7.824365,0
2016-04-01,13.032000,13.032000,13.032000,13.032000,7.921622,0
2016-04-04,13.009000,13.009000,13.009000,13.009000,7.907641,0
2016-04-05,12.910000,12.910000,12.910000,12.910000,7.847465,0
2016-04-06,13.126000,13.126000,13.126000,13.126000,7.978761,0
2016-04-07,12.946000,12.946000,12.946000,12.946000,7.869347,0
2016-04-08,12.919000,12.919000,12.919000,12.919000,7.852934,0
2016-04-11,12.834000,12.834000,12.834000,12.834000,7.801266,0
2016-04-12,12.937000,12.937000,12.937000,12.937000,7.863875,0
2016-04-13,13.133000,13.133000,13.133000,13.133000,7.983016,0
2016-04-14,13.151000,13.151000,13.151000,13.151000,7.993958,0
2016-04-15,13.159000,13.159000,13.159000,13.159000,7.998822,0
2016-04-18,13.236000,13.236000,13.236000,13.236000,8.045626,0
2016-04-19,13.175000,13.175000,13.175000,13.175000,8.008547,0
2016-04-20,13.187000,13.187000,13.187000,13.187000,8.015840,0
2016-04-21,13.197000,13.197000,13.197000,13.197000,8.021919,0
2016-04-22,13.121000,13.121000,13.121000,13.121000,7.975721,0
2016-04-25,13.105000,13.105000,13.105000,13.105000,7.965994,0
2016-04-26,13.069000,13.069000,13.069000,13.069000,7.944113,0
2016-04-27,13.012000,13.012000,13.012000,13.012000,7.909465,0
2016-04-28,12.876000,12.876000,12.876000,12.876000,7.826796,0
2016-04-29,12.843000,12.843000,12.843000,12.843000,7.806736,0
2016-05-02,12.981000,12.981000,12.981000,12.981000,7.890621,0
2016-05-03,12.779000,12.779000,12.779000,12.779000,7.767833,0
2016-05-04,12.641000,12.641000,12.641000,12.641000,7.683949,0
2016-05-05,12.609000,12.609000,12.609000,12.609000,7.664497,0
2016-05-06,12.650000,12.650000,12.650000,12.650000,7.689420,0
2016-05-09,12.729000,12.729000,12.729000,12.729000,7.737441,0
2016-05-10,12.881000,12.881000,12.881000,12.881000,7.829835,0
2016-05-11,12.720000,12.720000,12.720000,12.720000,7.731971,0
2016-05-12,12.650000,12.650000,12.650000,12.650000,7.689420,0
2016-05-13,12.680000,12.680000,12.680000,12.680000,7.707655,0
2016-05-16,12.854000,12.854000,12.854000,12.854000,7.813423,0
2016-05-17,12.747000,12.747000,12.747000,12.747000,7.748384,0
2016-05-18,12.798000,12.798000,12.798000,12.798000,7.779384,0
2016-05-19,12.756000,12.756000,12.756000,12.756000,7.753853,0
2016-05-20,12.893000,12.893000,12.893000,12.893000,7.837129,0
2016-05-23,12.908000,12.908000,12.908000,12.908000,7.846248,0
2016-05-24,13.107000,13.107000,13.107000,13.107000,7.967211,0
2016-05-25,13.186000,13.186000,13.186000,13.186000,8.015231,0
2016-05-26,13.168000,13.168000,13.168000,13.168000,8.004291,0
2016-05-27,13.241000,13.241000,13.241000,13.241000,8.048665,0
2016-05-31,13.288000,13.288000,13.288000,13.288000,8.077234,0
2016-06-01,13.315000,13.315000,13.315000,13.315000,8.093646,0
2016-06-02,13.394000,13.394000,13.394000,13.394000,8.141665,0
2016-06-03,13.307000,13.307000,13.307000,13.307000,8.088784,0
2016-06-06,13.408000,13.408000,13.408000,13.408000,8.150176,0
2016-06-07,13.398000,13.398000,13.398000,13.398000,8.144100,0
2016-06-08,13.445000,13.445000,13.445000,13.445000,8.172668,0
2016-06-09,13.383000,13.383000,13.383000,13.383000,8.134980,0
2016-06-10,13.180000,13.180000,13.180000,13.180000,8.011584,0
2016-06-13,13.064000,13.064000,13.064000,13.064000,7.941073,0
2016-06-14,13.043000,13.043000,13.043000,13.043000,7.928308,0
2016-06-15,13.056000,13.056000,13.056000,13.056000,7.936211,0
2016-06-16,13.052000,13.052000,13.052000,13.052000,7.933779,0
2016-06-17,12.924000,12.924000,12.924000,12.924000,7.855973,0
2016-06-20,13.042000,13.042000,13.042000,13.042000,7.927701,0
2016-06-21,13.045000,13.045000,13.045000,13.045000,7.929524,0
2016-06-22,12.993000,12.993000,12.993000,12.993000,7.897916,0
2016-06-23,13.181000,13.181000,13.181000,13.181000,8.012193,0
2016-06-24,12.645000,12.645000,12.645000,12.645000,7.686380,0
2016-06-27,12.358000,12.358000,12.358000,12.358000,7.511925,0
2016-06-28,12.635000,12.635000,12.635000,12.635000,7.680302,0
2016-06-29,12.873000,12.873000,12.873000,12.873000,7.824973,0
2016-06-30,12.986000,12.986000,12.986000,12.986000,7.893661,0
2016-07-01,13.073000,13.073000,13.073000,13.073000,7.946546,0
2016-07-05,12.978000,12.978000,12.978000,12.978000,7.888797,0
2016-07-06,13.079000,13.079000,13.079000,13.079000,7.950191,0
2016-07-07,13.135000,13.135000,13.135000,13.135000,7.984232,0
